,equal_returns,industry_returns,NIFTY_returns
384,73249.13095855713,61783.13360643387,100545.99609375
385,73790.97097015381,62794.02717876434,100430.498046875
386,74263.29221725464,62905.544096946716,100783.49609375
387,73190.5104675293,62169.63325047493,99456.50390625
388,73604.49088287354,62350.63345527649,100462.998046875
389,73659.74026489258,62297.60023403168,99303.49609375
390,73650.51028823853,62280.9933924675,98914.00390625
391,74393.98065948486,63049.36025905609,98796.50390625
392,73302.92066192627,62482.470207214355,98939.501953125
393,73596.03119659424,62758.55681991577,99942.998046875
394,73789.20080947876,62957.33332443237,100625.99609375
395,75332.34017944336,64299.83678817749,102333.49609375
396,75956.24084854126,64829.967004776,103315.0
397,76944.28042602539,65306.029623031616,104743.49609375
398,77082.5405960083,65677.82314300537,105670.0
399,77993.3593826294,66310.98272705078,106545.0
400,78483.01036453247,66348.18353271484,106407.001953125
401,80075.03100967407,67131.29685211182,106852.001953125
402,81165.37992095947,68114.26331615448,
403,84110.8005065918,69666.77046775818,108220.0
404,87851.05125808716,71859.55045938492,108863.49609375
405,86221.15129852295,70929.67453432083,107755.0
406,88203.88150787354,72049.31384420395,108585.498046875
407,89941.82955169678,73905.15004634857,109339.501953125
408,90773.73223495483,74480.6710767746,110315.99609375
409,93072.36974716187,75546.7331457138,108729.501953125
410,92779.8115310669,75277.9033818245,109720.498046875
411,94793.45036315918,76421.8970155716,110170.498046875
412,95868.83197021484,77895.24063301086,111331.50390625
413,96304.28993988037,78814.75995826721,111561.50390625
414,98554.14096069336,80114.05037879944,111915.99609375
415,98420.2500038147,80216.51270675659,112768.49609375
416,99444.15070343018,81295.09012031555,113682.5
417,100122.08124923706,81753.47745513916,113866.50390625
418,99638.69039154053,81817.62009191513,114792.001953125
419,98348.00120544434,80786.99017572403,114393.49609375
420,102728.43115997314,83805.94351434708,114694.00390625
421,104629.6012802124,85552.71047782898,115132.5
422,103834.2109413147,84737.7504453659,115219.00390625
423,103842.86158752441,85098.87057209015,116180.99609375
424,104477.06982803345,85412.44649028778,116443.49609375
425,102574.19177246094,84166.91074609756,116530.0
426,96005.07053375244,78864.7338309288,112622.5
427,97091.5294456482,79600.57989835739,113737.5
428,99913.67125320435,81185.5436091423,115235.498046875
429,101653.77005767822,82234.49337148666,116232.5
430,102815.76989746094,82806.87959337234,117327.001953125
431,102679.72190093994,82793.76724672318,117650.0
432,102493.39025115967,82844.56670045853,118076.50390625
433,101466.48114395142,82462.96088647842,118162.998046875
434,102214.46028518677,82869.09682321548,
435,103230.97095489502,83657.89352178574,119897.998046875
436,102884.02993392944,83749.37617826462,120650.0
437,103698.33157348633,84442.00036382675,120359.00390625
438,104113.4821472168,84765.28805685043,120640.99609375
439,104264.29202270508,85111.4475531578,122235.99609375
440,104345.95070266724,85304.96673631668,123045.0
441,106159.2192993164,86685.04645776749,123563.49609375
442,105380.11939239502,86593.87662744522,123390.99609375
443,104680.75053787231,86417.07712602615,123675.0
444,103543.58176422119,84978.30074167252,122292.001953125
445,100904.1109161377,82894.63020181656,120742.001953125
446,102863.81156158447,84534.2467637062,122798.49609375
447,103092.72026443481,84925.14006471634,123763.49609375
448,100880.73136138916,83112.63366174698,123139.501953125
449,99881.86093902588,82223.48683786392,121525.0
450,100568.64068984985,81798.72672319412,120417.001953125
451,100068.7314453125,80203.25060892105,118443.49609375
452,100232.65019989014,80629.49982309341,117405.498046875
453,100344.40997314453,80370.43336343765,116004.00390625
454,101905.60074615479,81296.72358179092,120681.50390625
